guide_id,url,guide_title,clicks,impressions,ctr_percent,avg_position,position_bucket,status,date_range_start,date_range_end
1,https://oceancloudconsults.com/articles/guide-computer-using-agents-rpa-automation,Computer Using Agents Rpa Automation,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
2,https://oceancloudconsults.com/articles/guide-copilot-cowork-multi-team-workflows,Copilot Cowork Multi Team Workflows,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
3,https://oceancloudconsults.com/articles/guide-get-started-sharepoint-agents,Get Started Sharepoint Agents,0,152,0.0,17.61,11-20,Baseline,2026-05-24,2026-06-22
4,https://oceancloudconsults.com/articles/guide-m365-copilot,M365 Copilot,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
5,https://oceancloudconsults.com/articles/guide-m365-migration-checklist,M365 Migration Checklist,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
6,https://oceancloudconsults.com/articles/guide-microsoft-graph-sharepoint,Microsoft Graph Sharepoint,0,13,0.0,27.46,21+,Baseline,2026-05-24,2026-06-22
7,https://oceancloudconsults.com/articles/guide-pnp-entra-app-registration,Pnp Entra App Registration,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
8,https://oceancloudconsults.com/articles/guide-power-apps-sharepoint,Power Apps Sharepoint,0,93,0.0,15.44,11-20,Baseline,2026-05-24,2026-06-22
9,https://oceancloudconsults.com/articles/guide-power-automate-sharepoint,Power Automate Sharepoint,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
10,https://oceancloudconsults.com/articles/guide-power-automate-triggers-actions,Power Automate Triggers Actions,1,175,0.57,16.23,11-20,Baseline,2026-05-24,2026-06-22
11,https://oceancloudconsults.com/articles/guide-powershell-self-signed-certificate-entra-app-registration,Powershell Self Signed Certificate Entra App Registration,0,42,0.0,4.4,1-5,Baseline,2026-05-24,2026-06-22
12,https://oceancloudconsults.com/articles/guide-scout-adoption-governance,Scout Adoption Governance,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
13,https://oceancloudconsults.com/articles/guide-sharepoint-anonymous-links-report-remove-pnp-powershell,Sharepoint Anonymous Links Report Remove Pnp Powershell,0,13,0.0,9.69,6-10,Baseline,2026-05-24,2026-06-22
14,https://oceancloudconsults.com/articles/guide-sharepoint-approval-multiple-approvers,Sharepoint Approval Multiple Approvers,1,107,0.93,34.06,21+,Baseline,2026-05-24,2026-06-22
15,https://oceancloudconsults.com/articles/guide-sharepoint-approval-workflow,Sharepoint Approval Workflow,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
16,https://oceancloudconsults.com/articles/guide-sharepoint-automation-ideas,Sharepoint Automation Ideas,0,148,0.0,52.2,21+,Baseline,2026-05-24,2026-06-22
17,https://oceancloudconsults.com/articles/guide-sharepoint-classic-calendar-to-modern-view,Sharepoint Classic Calendar To Modern View,2,44,4.55,12.36,11-20,Baseline,2026-05-24,2026-06-22
18,https://oceancloudconsults.com/articles/guide-sharepoint-copilot-agents,Sharepoint Copilot Agents,2,289,0.69,24.82,21+,Baseline,2026-05-24,2026-06-22
19,https://oceancloudconsults.com/articles/guide-sharepoint-copilot-ready,Sharepoint Copilot Ready,0,97,0.0,36.45,21+,Baseline,2026-05-24,2026-06-22
20,https://oceancloudconsults.com/articles/guide-sharepoint-external-sharing-complete-admin-guide,Sharepoint External Sharing Complete Admin Guide,3,107,2.8,43.56,21+,Baseline,2026-05-24,2026-06-22
21,https://oceancloudconsults.com/articles/guide-sharepoint-integrations,Sharepoint Integrations,0,179,0.0,61.27,21+,Baseline,2026-05-24,2026-06-22
22,https://oceancloudconsults.com/articles/guide-sharepoint-intranet,Sharepoint Intranet,0,193,0.0,56.19,21+,Baseline,2026-05-24,2026-06-22
23,https://oceancloudconsults.com/articles/guide-sharepoint-otp-retirement-entra-b2b,Sharepoint Otp Retirement Entra B2B,8,99,8.08,8.29,6-10,Baseline,2026-05-24,2026-06-22
24,https://oceancloudconsults.com/articles/guide-sharepoint-permissions,Sharepoint Permissions,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
25,https://oceancloudconsults.com/articles/guide-sharepoint-permissions-best-practices,Sharepoint Permissions Best Practices,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
26,https://oceancloudconsults.com/articles/guide-sharepoint-pnp-site-migration,Sharepoint Pnp Site Migration,10,256,3.91,9.41,6-10,Baseline,2026-05-24,2026-06-22
27,https://oceancloudconsults.com/articles/guide-sharepoint-recycle-bin-restore-pnp-powershell,Sharepoint Recycle Bin Restore Pnp Powershell,0,5,0.0,53.0,21+,Baseline,2026-05-24,2026-06-22
28,https://oceancloudconsults.com/articles/guide-sharepoint-site-provisioning-automation,Sharepoint Site Provisioning Automation,0,105,0.0,13.61,11-20,Baseline,2026-05-24,2026-06-22
29,https://oceancloudconsults.com/articles/guide-sharepoint-vs-teams,Sharepoint Vs Teams,0,17,0.0,66.59,21+,Baseline,2026-05-24,2026-06-22
30,https://oceancloudconsults.com/articles/guide-sharepoint-workflow-migration,Sharepoint Workflow Migration,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
31,https://oceancloudconsults.com/articles/guide-teams-automation,Teams Automation,0,0,0.0,0.0,No impressions,Baseline,2026-05-24,2026-06-22
32,https://oceancloudconsults.com/articles/guide-teams-phone-agents-custom-voice,Teams Phone Agents Custom Voice,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
33,https://oceancloudconsults.com/articles/guide-work-iq-apis-organization-insights,Work Iq Apis Organization Insights,0,0,0.0,0.0,No impressions,New guide - awaiting indexing,2026-05-24,2026-06-22
